2,300435,中泰股份,17.42,-6.60,-911.29,-2.36,-1556.18,-4.03,644.90,1.67,-138.44,-0.36,1049.72,2.72,2019-04-15 15:00:00,-1.23,
1,601877,正泰电器,27.80,-0.61,-1458.40,-3.85,1229.85,3.24,-2688.25,-7.09,-2769.15,-7.31,4227.55,11.15,2019-04-15 15:00:00,-0.17,
2,000425,徐工机械,4.94,-3.52,-20146.30,-17.60,-16379.55,-14.31,-3766.75,-3.29,10513.60,9.19,9632.70,8.42,2019-04-15 15:00:00,-0.18,
1,600528,中铁工业,13.17,-0.60,-2401.10,-3.01,-807.83,-1.01,-1593.27,-2.00,2925.74,3.67,-524.64,-0.66,2019-04-15 15:00:00,-0.08,
2,000656,金科股份,7.98,-1.85,1257.08,4.02,452.90,1.45,804.18,2.57,215.99,0.69,-1473.06,-4.71,2019-04-15 15:00:00,-0.15,
2,002411,延安必康,19.46,-0.21,541.43,4.07,1116.90,8.40,-575.47,-4.33,-1446.29,-10.88,904.86,6.80,2019-04-15 15:00:00,-0.04,
2,002256,兆新股份,4.06,-2.17,-92.38,-0.38,382.88,1.56,-475.26,-1.93,-778.89,-3.17,871.27,3.54,2019-04-15 15:00:00,-0.09,
2,000625,长安汽车,9.50,-5.47,136.92,0.18,-1278.72,-1.64,1415.63,1.81,-3435.09,-4.39,3298.18,4.22,2019-04-15 15:00:00,-0.55,
1,600418,江淮汽车,6.83,-5.14,-2690.43,-4.30,-1648.46,-2.64,-1041.97,-1.67,2467.66,3.95,222.77,0.36,2019-04-15 15:00:00,-0.37,
2,000961,中南建设,9.16,-5.57,-3129.27,-5.94,-1561.46,-2.96,-1567.81,-2.98,1347.57,2.56,1781.71,3.38,2019-04-15 15:00:00,-0.54,
2,002888,惠威科技,25.23,5.26,1561.79,10.65,661.47,4.51,900.32,6.14,-74.00,-0.50,-1487.79,-10.14,2019-04-15 15:00:00,1.26,
2,300240,飞力达,9.59,5.62,4938.72,16.11,4585.09,14.96,353.64,1.15,-3407.12,-11.11,-1531.60,-5.00,2019-04-15 15:00:00,0.51,
1,600422,昆药集团,14.21,2.16,-2123.59,-1.88,-1825.30,-1.61,-298.29,-0.26,3138.94,2.78,-1015.34,-0.90,2019-04-15 15:00:00,0.30,
1,600006,东风汽车,6.88,0.44,-12616.42,-9.39,-7644.10,-5.69,-4972.32,-3.70,5271.35,3.93,7345.07,5.47,2019-04-15 15:00:00,0.03,
1,600919,江苏银行,7.26,0.55,1377.70,3.35,-440.80,-1.07,1818.50,4.43,114.35,0.28,-1492.05,-3.63,2019-04-15 15:00:00,0.04,
2,300006,莱美药业,7.14,-6.05,-2573.23,-5.72,-2754.62,-6.13,181.39,0.40,1361.10,3.03,1212.13,2.70,2019-04-15 15:00:00,-0.46,
2,000531,穗恒运A,9.75,7.03,-2386.74,-3.96,1099.61,1.82,-3486.34,-5.78,86.20,0.14,2300.54,3.81,2019-04-15 15:00:00,0.64,
1,600015,华夏银行,8.45,0.12,3530.10,6.77,-953.82,-1.83,4483.92,8.60,-1002.49,-1.92,-2527.61,-4.85,2019-04-15 15:00:00,0.01,
1,600666,奥瑞德,5.06,10.00,10367.64,22.77,10327.85,22.68,39.79,0.09,-5182.30,-11.38,-5185.33,-11.39,2019-04-15 15:00:00,0.46,
2,002468,申通快递,24.05,-2.20,-372.36,-1.42,-778.20,-2.96,405.84,1.55,-1031.67,-3.93,1404.03,5.35,2019-04-15 15:00:00,-0.54,
1,600192,长城电工,8.93,-3.35,-4186.30,-9.95,-630.62,-1.50,-3555.68,-8.45,1575.37,3.74,2610.94,6.21,2019-04-15 15:00:00,-0.31,
